Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];NOx (Well to tank) [kg];PM (Well to tank) [kg];CO2 [kg];SOx [kg];Energy [J];CH4 [kg];NOx [kg];PM [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Tanker SuezMax FS;Electrical;-64;1.852;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-64;1.852;4269012287.923226;-137.283579;0.156003;0.057315;0.083041;0.044664999999999996;158.562397;0.0;2271584653.061224;0.0;1.016327;0.001836;22.883635;-126.895568;109.973192
Tanker SuezMax FS;Electrical;-62;1.9548889999999999;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-62;1.9548889999999999;4714236837.529678;-151.601181;0.172273;0.063292;0.09170199999999999;0.049323;175.099213;0.0;2508493142.857143;0.0;1.122321;0.002027;25.270219;-140.129782;121.442535
Tanker SuezMax FS;Electrical;-60;2.057778;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-60;2.057778;5159461387.136129;-165.91878400000002;0.18854200000000002;0.06927;0.100362;0.053982;191.636029;0.0;2745401632.653061;0.0;1.228316;0.002219;27.656802000000003;-153.363996;132.911878
Tanker SuezMax FS;Electrical;-58;2.1606669999999997;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-58;2.1606669999999997;6295828739.3807535;-202.462266;0.230069;0.084527;0.122467;0.065871;233.843715;0.0;3350074204.0816326;0.0;1.498852;0.002708;33.748191999999996;-187.14229699999999;162.18561499999998
Tanker SuezMax FS;Electrical;-56;2.2635560000000003;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-56;2.2635560000000003;7432196091.62538;-239.005749;0.271595;0.09978300000000001;0.144571;0.07776;276.051401;0.0;3954746775.510205;0.0;1.7693880000000002;0.003196;39.839581;-220.92059700000001;191.459353
Tanker SuezMax FS;Electrical;-54;2.366444;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-54;2.366444;8568563443.87;-275.54923199999996;0.313121;0.11504;0.166676;0.08965;318.259087;0.0;4559419346.938774;0.0;2.039923;0.0036850000000000003;45.93097;-254.69889799999999;220.73309
Tanker SuezMax FS;Electrical;-52;2.4693330000000002;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-52;2.4693330000000002;9704930796.114628;-312.092715;0.354648;0.130296;0.188781;0.101539;360.466773;0.0;5164091918.367347;0.0;2.310459;0.004174000000000001;52.022359;-288.47719900000004;250.00682799999998
Tanker SuezMax FS;Electrical;-50;2.572222;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-50;2.572222;10841298148.359251;-348.636198;0.39617399999999997;0.145553;0.210885;0.113429;402.67446;0.0;5768764489.7959175;0.0;2.580995;0.0046619999999999995;58.113749;-322.25549900000004;279.28056499999997
Tanker SuezMax FS;Electrical;-48;2.6751110000000002;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-48;2.6751110000000002;11977665500.603876;-385.179681;0.4377;0.16080999999999998;0.23299;0.125318;444.882146;0.0;6373437061.22449;0.0;2.851531;0.005151;64.205138;-356.0338;308.554303
Tanker SuezMax FS;Electrical;-46;2.778;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-46;2.778;13114032852.8485;-421.72316399999994;0.47922700000000007;0.176066;0.25509499999999996;0.137207;487.08983200000006;0.0;6978109632.65306;0.0;3.122066;0.00564;70.296527;-389.812101;337.82804100000004
