Type;Input (delta) [%];Speed [m/second];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];PM (Well to tank) [kg];Energy (Well to tank) [J];NOx (Well to tank) [kg];GWP [kg];NOx [kg];PM [kg];CH4 [kg];SOx [kg];CO2 [kg];Energy [J];NPV [EUR];Fuel Consumption [kg]
Tanker_Handy_Max_Tier_II;34;6.894;556.701;1.6969999999999998;1.9509999999999998;0.187;9900865472.441;1.889;4310.184;87.61;1.63;0.0;2.637;3698.868;49235559340.268;-2005.3629999999998;1153.733
Tanker_Handy_Max_Tier_II;36;6.996;576.9540000000001;1.758;2.021;0.193;10261053219.285;1.9569999999999999;4466.986;91.448;1.7;0.0;2.733;3833.4309999999996;51026720449.643;-2083.769;1195.705
Tanker_Handy_Max_Tier_II;38;7.099;599.045;1.8259999999999998;2.099;0.201;10653949187.645;2.032;4638.027;95.286;1.7690000000000001;0.0;2.838;3980.2129999999997;52980534772.098;-2166.357;1241.489
Tanker_Handy_Max_Tier_II;40;7.202000000000001;621.5;1.8940000000000001;2.178;0.20800000000000002;11053303126.452;2.108;4811.879;99.124;1.839;0.0;2.944;4129.407999999999;54966463639.285995;-2249.771;1288.025
Tanker_Handy_Max_Tier_II;42;7.305;662.1410000000001;2.0180000000000002;2.32;0.222;11776103261.668001;2.246;5126.538;105.75299999999999;1.959;0.0;3.137;4399.439;58560843246.571;-2398.067;1372.2520000000002
Tanker_Handy_Max_Tier_II;44;7.4079999999999995;708.1669999999999;2.158;2.481;0.237;12594678584.906;2.4019999999999997;5482.892;112.382;2.08;0.0;3.355;4705.251;62631498889.143;-2558.609;1467.639
Tanker_Handy_Max_Tier_II;46;7.511;754.8689999999999;2.3;2.645;0.253;13425261830.065;2.5610000000000004;5844.473000000001;119.012;2.2;0.0;3.576;5015.549;66761868175.333;-2720.6859999999997;1564.4260000000002
Tanker_Handy_Max_Tier_II;48;7.614;805.72;2.455;2.823;0.27;14329641652.425;2.733;6238.181;125.641;2.3209999999999997;0.0;3.8169999999999997;5353.4169999999995;71259217072.143;-2892.198;1669.8120000000001
Tanker_Handy_Max_Tier_II;50;7.7170000000000005;859.659;2.62;3.012;0.28800000000000003;15288946231.983;2.9160000000000004;6655.798000000001;132.27;2.441;0.0;4.072;5711.803000000001;76029698772.321;-3070.7329999999997;1781.598
Tanker_Handy_Max_Tier_II;52;7.82;914.865;2.7880000000000003;3.205;0.307;16270765665.144;3.1039999999999996;7083.218000000001;138.899;2.5610000000000004;0.0;4.334;6078.602;80912143554.286;-3252.1459999999997;1896.0079999999998
Tanker_Handy_Max_Tier_II;54;7.922000000000001;971.336;2.96;3.403;0.326;17275099951.909;3.295;7520.439;145.528;2.682;0.0;4.601;6453.811;85906551418.036;-3436.438;2013.0420000000001
Tanker_Handy_Max_Tier_II;56;8.025;1029.073;3.136;3.6060000000000003;0.345;18301949092.278;3.491;7967.460999999999;152.157;2.802;0.0;4.875;6837.432;91012922363.57199;-3623.6079999999997;2132.699
Tanker_Handy_Max_Tier_II;58;8.128;1088.076;3.3160000000000003;3.812;0.365;19351313086.25;3.6910000000000003;8424.285;158.786;2.9219999999999997;0.0;5.154;7229.465;96231256390.893;-3813.657;2254.98
Tanker_Handy_Max_Tier_II;60;8.231;1148.345;3.5;4.023;0.385;20423191933.827;3.8960000000000004;8890.91;165.415;3.043;0.0;5.44;7629.908;101561553500.0;-4006.5840000000003;2379.884
Tanker_Handy_Max_Tier_II;62;8.334;1209.88;3.687;4.239;0.406;21517585635.006;4.104;9367.337;172.044;3.1630000000000003;0.0;5.731;8038.763000000001;107003813690.893;-4202.39;2507.4120000000003
Tanker_Handy_Max_Tier_II;64;8.437000000000001;1272.681;3.878;4.459;0.42700000000000005;22634494189.79;4.317;9853.565;178.673;3.283;0.0;6.029;8456.03;112558036963.571;-4401.075;2637.5640000000003
Tanker_Handy_Max_Tier_II;66;8.54;1336.7479999999998;4.074;4.684;0.44799999999999995;23773917598.177002;4.535;10349.595;185.30200000000002;3.404;0.0;6.332000000000001;8881.707;118224223318.036;-4602.638;2770.3390000000004
Tanker_Handy_Max_Tier_II;68;8.642999999999999;1402.0810000000001;4.273;4.912;0.47;24935855860.167004;4.756;10855.426000000001;191.93099999999998;3.5239999999999996;0.0;6.642;9315.796;124002372754.286;-4807.08;2905.738
Tanker_Handy_Max_Tier_II;70;8.746;1468.68;4.476;5.146;0.49200000000000005;26120308975.762;4.982;11371.059;198.56;3.645;0.0;6.957000000000001;9758.296999999999;129892485272.321;-5014.4;3043.761
Tanker_Handy_Max_Tier_II;72;8.847999999999999;1536.545;4.683;5.3839999999999995;0.515;27327276944.96;5.212999999999999;11896.493;205.18900000000002;3.765;0.0;7.279;10209.208;135894560872.143;-5224.599;3184.407
Tanker_Handy_Max_Tier_II;74;8.951;1605.6760000000002;4.893;5.626;0.5379999999999999;28556759767.761;5.447;12431.729;211.81900000000002;3.885;0.0;7.606;10668.531;142008599553.75;-5437.677;3327.677
Tanker_Handy_Max_Tier_II;76;9.054;1676.0720000000001;5.1080000000000005;5.872000000000001;0.562;29808757444.167004;5.686;12976.766000000001;218.44799999999998;4.006;0.0;7.94;11136.266000000001;148234601317.143;-5653.633000000001;3473.57
Tanker_Handy_Max_Tier_II;78;9.157;1747.735;5.3260000000000005;6.124;0.586;31083269974.176003;5.928999999999999;13531.605;225.077;4.126;0.0;8.279;11612.411;154572566162.322;-5872.468000000001;3622.087
Tanker_Handy_Max_Tier_II;80;9.26;1820.664;5.547999999999999;6.379;0.61;32380297357.788;6.176;14096.245;231.706;4.246;0.0;8.624;12096.968;161022494089.286;-6094.181;3773.228
Tanker_Handy_Max_Tier_II;82;9.363;1894.858;5.775;6.638999999999999;0.635;33699839595.005;6.428;14670.687;238.335;4.367;0.0;8.976;12589.936000000002;167584385098.036;-6318.773;3926.992
Tanker_Handy_Max_Tier_II;84;9.466000000000001;1970.319;6.004;6.903;0.66;35041896685.825;6.684;15254.93;244.96400000000003;4.487;0.0;9.333;13091.316;174258239188.57098;-6546.244000000001;4083.38
Tanker_Handy_Max_Tier_II;86;9.568999999999999;2047.045;6.2379999999999995;7.172000000000001;0.6859999999999999;36406468630.248;6.944;15848.975;251.593;4.607;0.0;9.697000000000001;13601.107;181044056360.893;-6776.593000000001;4242.391
Tanker_Handy_Max_Tier_II;88;9.672;2125.038;6.476;7.445;0.7120000000000001;37793555428.276;7.209;16452.821;258.222;4.728;0.0;10.066;14119.309;187941836615.0;-7009.82;4404.027
Tanker_Handy_Max_Tier_II;90;9.774;2204.2960000000003;6.718;7.723;0.7390000000000001;39203157079.906;7.478;17066.468;264.851;4.848;0.0;10.442;14645.923;194951579950.893;-7245.927;4568.285
Tanker_Handy_Max_Tier_II;92;9.877;2284.82;6.962999999999999;8.005;0.7659999999999999;40635273585.141;7.751;17689.917;271.48;4.968;0.0;10.823;15180.948;202073286368.572;-7484.911999999999;4735.168
Tanker_Handy_Max_Tier_II;94;9.98;2366.611;7.212000000000001;8.292;0.7929999999999999;42089904943.979;8.027999999999999;18323.168;278.10900000000004;5.0889999999999995;0.0;11.210999999999999;15724.383999999998;209306955868.036;-7726.775;4904.674
Tanker_Handy_Max_Tier_II;96;10.083;2449.667;7.465;8.583;0.821;43567051156.421;8.31;18966.22;284.738;5.209;0.0;11.604000000000001;16276.232;216652588449.286;-7971.517;5076.803
Tanker_Handy_Max_Tier_II;98;10.186;2533.989;7.722;8.878;0.8490000000000001;45066712222.467;8.596;19619.073;291.367;5.33;0.0;12.003;16836.491;224110184112.322;-8219.138;5251.557
Tanker_Handy_Max_Tier_II;100;10.289000000000001;2619.577;7.983;9.177999999999999;0.878;46588888142.116;8.887;20281.728;297.997;5.45;0.0;12.409;17405.161;231679742857.143;-8469.636999999999;5428.934
Tanker_SuezMax_FS;-100;0.0;-310.129;0.35200000000000004;0.129;0.10099999999999999;9643853060.068;0.188;51.695;2.296;0.004;0.0;0.0;358.19800000000004;5131591836.735;-286.66200000000003;248.433
Tanker_SuezMax_FS;-98;0.10300000000000001;-312.403;0.355;0.13;0.102;9714574649.175;0.18899999999999997;52.074;2.313;0.004;0.0;0.0;360.825;5169223510.204;-288.764;250.255
Tanker_SuezMax_FS;-96;0.20600000000000002;-314.677;0.358;0.131;0.102;9785296238.282;0.19;52.453;2.33;0.004;0.0;0.0;363.452;5206855183.673;-290.866;252.077
